movie_id,title,overview,genres,keywords,cast,director,tags,original_language,vote_average,release_date,popularity,runtime,production_countries
19995,Avatar,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization action adventure fantasy sciencefiction action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver samworthington zoesaldana sigourneyweaver jamescameron jamescameron jamescameron,en,7.2,2009-12-10,150.437577,162.0,US GB
285,Pirates of the Caribbean: At World's End,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems adventure fantasy action adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofoneslife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger ocean drugabuse exoticisland eastindiatradingcompany loveofoneslife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley johnnydepp orlandobloom keiraknightley goreverbinski goreverbinski goreverbinski,en,6.9,2007-05-19,139.082615,169.0,US
206647,Spectre,a cryptic message from bond s past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre,Action Adventure Crime,spy based on novel secret agent sequel mi6 british secret service united kingdom,Daniel Craig Christoph Waltz Léa Seydoux,Sam Mendes,a cryptic message from bond s past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre action adventure crime action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz laseydoux danielcraig christophwaltz laseydoux sammendes sammendes sammendes,en,6.3,2015-10-26,107.376788,148.0,GB US
49026,The Dark Knight Rises,following the death of district attorney harvey dent batman assumes responsibility for dent s crimes to protect the late attorney s reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gotham s finest the dark knight resurfaces to protect a city that has branded him an enemy,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,Christian Bale Michael Caine Gary Oldman,Christopher Nolan,following the death of district attorney harvey dent batman assumes responsibility for dent s crimes to protect the late attorney s reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gotham s finest the dark knight resurfaces to protect a city that has branded him an enemy action crime drama thriller action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christianbale michaelcaine garyoldman christianbale michaelcaine garyoldman christophernolan christophernolan christophernolan,en,7.6,2012-07-16,112.31295,165.0,US
49529,John Carter,john carter is a war weary former military captain who s inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict it s a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands,Action Adventure Science Fiction,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,Taylor Kitsch Lynn Collins Samantha Morton,Andrew Stanton,john carter is a war weary former military captain who s inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict it s a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands action adventure sciencefiction action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d taylorkitsch lynncollins samanthamorton taylorkitsch lynncollins samanthamorton andrewstanton andrewstanton andrewstanton,en,6.1,2012-03-07,43.926995,132.0,US
559,Spider-Man 3,the seemingly invincible spider man goes up against an all new crop of villain including the shape shifting sandman while spider man s superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi,the seemingly invincible spider man goes up against an all new crop of villain including the shape shifting sandman while spider man s superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle fantasy action adventure fantasy action adventure dualidentity amnesia sandstorm loveofoneslife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge dualidentity amnesia sandstorm loveofoneslife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge tobeymaguire kirstendunst jamesfranco tobeymaguire kirstendunst jamesfranco samraimi samraimi samraimi,en,5.9,2007-05-01,115.699814,139.0,US
38757,Tangled,when the kingdom s most wanted and most charming bandit flynn rider hides out in a mysterious tower he s taken hostage by rapunzel a beautiful and feisty tower bound teen with 70 feet of magical golden hair flynn s curious captor who s looking for her ticket out of the tower where she s been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action packed escapade complete with a super cop horse an over protective chameleon and a gruff gang of pub thugs,Animation Family,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,Zachary Levi Mandy Moore Donna Murphy,Byron Howard,when the kingdom s most wanted and most charming bandit flynn rider hides out in a mysterious tower he s taken hostage by rapunzel a beautiful and feisty tower bound teen with 70 feet of magical golden hair flynn s curious captor who s looking for her ticket out of the tower where she s been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action packed escapade complete with a super cop horse an over protective chameleon and a gruff gang of pub thugs animation family animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick zacharylevi mandymoore donnamurphy zacharylevi mandymoore donnamurphy byronhoward byronhoward byronhoward,en,7.4,2010-11-24,48.681969,100.0,US
99861,Avengers: Age of Ultron,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earth s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,Robert Downey Jr. Chris Hemsworth Mark Ruffalo,Joss Whedon,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earth s mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure action adventure sciencefiction action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d robertdowneyjr chrishemsworth markruffalo robertdowneyjr chrishemsworth markruffalo josswhedon josswhedon josswhedon,en,7.3,2015-04-22,134.279229,141.0,US
767,Harry Potter and the Half-Blood Prince,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the half blood prince and begins to learn more about lord voldemort s dark past,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,Daniel Radcliffe Rupert Grint Emma Watson,David Yates,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the half blood prince and begins to learn more about lord voldemort s dark past adventure fantasy family adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf danielradcliffe rupertgrint emmawatson danielradcliffe rupertgrint emmawatson davidyates davidyates davidyates,en,7.4,2009-07-07,98.885637,153.0,GB US
209112,Batman v Superman: Dawn of Justice,fearing the actions of a god like super hero left unchecked gotham city s own formidable forceful vigilante takes on metropolis s most revered modern day savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than it s ever known before,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,Ben Affleck Henry Cavill Gal Gadot,Zack Snyder,fearing the actions of a god like super hero left unchecked gotham city s own formidable forceful vigilante takes on metropolis s most revered modern day savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than it s ever known before action adventure fantasy action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse benaffleck henrycavill galgadot benaffleck henrycavill galgadot zacksnyder zacksnyder zacksnyder,en,5.7,2016-03-23,155.790452,151.0,US
