laptop_id,brand,model,price_inr,processor_brand,processor_model,cpu_cores,ram_gb,ram_type,storage_gb,storage_type,gpu_brand,gpu_model,gpu_type,display_size_inch,refresh_rate_hz,resolution,weight_kg,battery_whr,operating_system,rating
1,Apple,MacBook Air M1 (8GB/256GB),64990,Apple,M1,8,8,Unified,256,NVMe SSD,Apple,7-core GPU,Integrated,13.3,60,2560x1600 Retina,1.29,49,macOS,91.5
2,Apple,MacBook Air M2 (8GB/256GB),89990,Apple,M2,8,8,Unified,256,NVMe SSD,Apple,8-core GPU,Integrated,13.6,60,2560x1664 Liquid Retina,1.24,52,macOS,93.0
3,Apple,MacBook Air M2 (16GB/512GB),119990,Apple,M2,8,16,Unified,512,NVMe SSD,Apple,10-core GPU,Integrated,13.6,60,2560x1664 Liquid Retina,1.24,52,macOS,95.0
4,Apple,MacBook Air M3 (16GB/512GB),134900,Apple,M3,8,16,Unified,512,NVMe SSD,Apple,10-core GPU,Integrated,13.6,60,2560x1664 Liquid Retina,1.24,52,macOS,96.5
5,Apple,MacBook Air 15 M3 (16GB/512GB),154900,Apple,M3,8,16,Unified,512,NVMe SSD,Apple,10-core GPU,Integrated,15.3,60,2880x1864 Liquid Retina,1.51,66,macOS,96.0
6,Apple,MacBook Pro 14 M3 (16GB/512GB),169900,Apple,M3,8,16,Unified,512,NVMe SSD,Apple,10-core GPU,Integrated,14.2,120,3024x1964 Liquid Retina XDR,1.55,70,macOS,97.0
7,Apple,MacBook Pro 14 M3 Pro (18GB/512GB),199900,Apple,M3 Pro,11,18,Unified,512,NVMe SSD,Apple,14-core GPU,Integrated,14.2,120,3024x1964 Liquid Retina XDR,1.61,72,macOS,98.0
8,Apple,MacBook Pro 16 M3 Max (36GB/1TB),349900,Apple,M3 Max,14,36,Unified,1024,NVMe SSD,Apple,30-core GPU,Integrated,16.2,120,3456x2234 Liquid Retina XDR,2.16,100,macOS,99.0
9,Lenovo,IdeaPad 1 15AMN7,34990,AMD,Ryzen 3 7320U,4,8,LPDDR5,512,NVMe SSD,AMD,Radeon 610M,Integrated,15.6,60,1920x1080 FHD,1.58,42,Windows 11,76.0
10,Lenovo,IdeaPad Slim 3 15IAU7,41990,Intel,Core i3-1215U,6,8,DDR4,512,NVMe SSD,Intel,UHD Graphics,Integrated,15.6,60,1920x1080 FHD,1.63,45,Windows 11,78.5
